item,sector,region,policy,value,co2p,scc
Output,non-EITE,EUR,ABR,-0.002083798610108545,25,250
Output,non-EITE,EUR,ibr,0.0119926789672542,25,250
Output,non-EITE,EUR,bcr,0.012179624198660477,25,250
Output,non-EITE,OG20,LSR,-8.06557905241867e-4,25,250
Output,non-EITE,OG20,OBR,0.004502432338426843,25,250
Output,non-EITE,OG20,ABR,-0.013631298469540809,25,250
Output,non-EITE,OG20,ibr,0.004955663449113246,25,250
Output,non-EITE,OG20,bcr,0.005140706906092696,25,250
Output,non-EITE,ROW,LSR,-0.008895656047147593,25,250
Output,non-EITE,ROW,OBR,-0.003980044533202776,25,250
Output,non-EITE,ROW,ABR,-0.023808580221462705,25,250
Output,non-EITE,ROW,ibr,-0.004889587193979139,25,250
Output,non-EITE,ROW,bcr,-0.004557203871302651,25,250
Emissions,EITE,chn,LSR,0.06437185845880045,25,250
Emissions,EITE,chn,OBR,0.04621426406929974,25,250
Emissions,EITE,chn,ABR,0.11520831387799024,25,250
Emissions,EITE,chn,ibr,0.05295450218711917,25,250
Emissions,EITE,chn,bcr,0.050920818589861305,25,250
Emissions,EITE,ind,LSR,0.11057798177698253,25,250
Emissions,EITE,ind,OBR,0.0813060648761521,25,250
Emissions,EITE,ind,ABR,0.19034948426643883,25,250
Emissions,EITE,ind,ibr,0.09257165053346839,25,250
Emissions,EITE,ind,bcr,0.089283552225905,25,250
Emissions,EITE,usa,LSR,-8.91508252255372,25,250
Emissions,EITE,usa,OBR,-8.516016224456113,25,250
Emissions,EITE,usa,ABR,-23.91854283925541,25,250
Emissions,EITE,usa,ibr,-23.52331951387606,25,250
Emissions,EITE,usa,bcr,-21.404904952525282,25,250
Emissions,EITE,EUR,LSR,0.3540354288467995,25,250
Emissions,EITE,EUR,OBR,0.2819455152759609,25,250
Emissions,EITE,EUR,ABR,0.6397135492484551,25,250
Emissions,EITE,EUR,ibr,0.3685386649399991,25,250
Emissions,EITE,EUR,bcr,0.3543485111313194,25,250
Emissions,EITE,OG20,LSR,0.4163342954536686,25,250
Emissions,EITE,OG20,OBR,0.3318710331163377,25,250
Emissions,EITE,OG20,ABR,0.7293328356881679,25,250
Emissions,EITE,OG20,ibr,0.4300785869415069,25,250
Emissions,EITE,OG20,bcr,0.4130215961105854,25,250
Emissions,EITE,ROW,LSR,0.32310458364488426,25,250
Emissions,EITE,ROW,OBR,0.2654510722314818,25,250
