=C
 Walras check :   0.0000E+00
=C
=C Default price normalization using income for RA.usa
 Walras check :   0.0000E+00
 Level and function values (X and F)
 CO2.col.ROW              0.0013      0.0000
 CO2.cru.chn              0.0130      0.0000
 CO2.cru.ind              0.0014      0.0000
 CO2.cru.usa              0.0350      0.0000
 CO2.cru.EUR              0.0027      0.0000
 CO2.cru.OG20             0.0791      0.0000
 CO2.cru.ROW              0.1215      0.0000
 CO2.roi.chn              1.2875      0.0000
 CO2.roi.ind              0.3027      0.0000
 CO2.roi.usa              1.5612      0.0000
 CO2.roi.EUR              1.1501      0.0000
 CO2.roi.OG20             1.1093      0.0000
 CO2.roi.ROW              2.2870      0.0000
 CO2.ppp.chn              0.0436      0.0000
 CO2.ppp.ind              0.0072      0.0000
 CO2.ppp.usa              0.0356      0.0000
 CO2.ppp.EUR              0.0215      0.0000
 CO2.ppp.OG20             0.0231      0.0000
 CO2.ppp.ROW              0.0421      0.0000
 CO2.nmm.chn              0.7166      0.0000
 CO2.nmm.ind              0.1344      0.0000
 CO2.nmm.usa              0.0552      0.0000
 CO2.nmm.EUR              0.0619      0.0000
 CO2.nmm.OG20             0.1039      0.0000
 CO2.nmm.ROW              0.2706      0.0000
 CO2.i_s.chn              0.5582      0.0000
 CO2.i_s.ind              0.1949      0.0000
 CO2.i_s.usa              0.0388      0.0000
 CO2.i_s.EUR              0.0466      0.0000
 CO2.i_s.OG20             0.1177      0.0000
 CO2.i_s.ROW              0.1777      0.0000
 CO2.nfm.chn              0.0741      0.0000
 CO2.nfm.ind              0.0076      0.0000
 CO2.nfm.usa              0.0110      0.0000
 CO2.nfm.EUR              0.0095      0.0000
 CO2.nfm.OG20             0.0211      0.0000
 CO2.nfm.ROW              0.0486      0.0000
 CO2.ele.chn              4.0657      0.0000
 CO2.ele.ind              1.0304      0.0000
 CO2.ele.usa              2.0890      0.0000
 CO2.ele.EUR              0.8683      0.0000
 CO2.ele.OG20             1.9243      0.0000
 CO2.ele.ROW              2.5286      0.0000
 CO2.chm.chn              0.4018      0.0000
 CO2.chm.ind              0.0400      0.0000
 CO2.chm.usa              0.0874      0.0000
 CO2.chm.EUR              0.0754      0.0000
 CO2.chm.OG20             0.1226      0.0000
 CO2.chm.ROW              0.2787      0.0000
 CO2.c.chn                0.5549      0.0000
 CO2.c.ind                0.1498      0.0000
 CO2.c.usa                1.0361      0.0000
 CO2.c.EUR                0.5086      0.0000
 CO2.c.OG20               0.6091      0.0000
 CO2.c.ROW                1.1964      0.0000
 PY.oil.chn               1.0000      0.0000
 PY.oil.ind               1.0000      0.0000
 PY.oil.usa               1.0000      0.0000
 PY.oil.EUR               1.0000      0.0000
 PY.oil.OG20              1.0000      0.0000
 PY.oil.ROW               1.0000      0.0000
 PY.gas.chn               1.0000      0.0000
 PY.gas.ind               1.0000      0.0000
 PY.gas.usa               1.0000      0.0000
 PY.gas.EUR               1.0000      0.0000
 PY.gas.OG20              1.0000      0.0000
 PY.gas.ROW               1.0000      0.0000
 PY.col.chn               1.0000      0.0000
 PY.col.ind               1.0000      0.0000
 PY.col.usa               1.0000      0.0000
 PY.col.EUR               1.0000      0.0000
 PY.col.OG20              1.0000      0.0000
 PY.col.ROW               1.0000      0.0000
 PY.cru.chn               1.0000      0.0000
 PY.cru.ind               1.0000      0.0000
 PY.cru.usa               1.0000      0.0000
 PY.cru.EUR               1.0000      0.0000
 PY.cru.OG20              1.0000      0.0000
 PY.cru.ROW               1.0000      0.0000
 PY.roi.chn               1.0000      0.0000
 PY.roi.ind               1.0000      0.0000
 PY.roi.usa               1.0000      0.0000
 PY.roi.EUR               1.0000      0.0000
 PY.roi.OG20              1.0000      0.0000
 PY.roi.ROW               1.0000      0.0000
 PY.ppp.chn               1.0000      0.0000
 PY.ppp.ind               1.0000      0.0000
 PY.ppp.usa               1.0000      0.0000
 PY.ppp.EUR               1.0000      0.0000
 PY.ppp.OG20              1.0000      0.0000
 PY.ppp.ROW               1.0000      0.0000
 PY.nmm.chn               1.0000      0.0000
 PY.nmm.ind               1.0000      0.0000
 PY.nmm.usa               1.0000      0.0000
 PY.nmm.EUR               1.0000      0.0000
 PY.nmm.OG20              1.0000      0.0000
 PY.nmm.ROW               1.0000      0.0000
 PY.i_s.chn               1.0000      0.0000
 PY.i_s.ind               1.0000      0.0000
 PY.i_s.usa               1.0000      0.0000
 PY.i_s.EUR               1.0000      0.0000
 PY.i_s.OG20              1.0000      0.0000
 PY.i_s.ROW               1.0000      0.0000
 PY.nfm.chn               1.0000      0.0000
 PY.nfm.ind               1.0000      0.0000
 PY.nfm.usa               1.0000      0.0000
 PY.nfm.EUR               1.0000      0.0000
 PY.nfm.OG20              1.0000      0.0000
 PY.nfm.ROW               1.0000      0.0000
 PY.ele.chn               1.0000      0.0000
 PY.ele.ind               1.0000      0.0000
 PY.ele.usa               1.0000      0.0000
